Frame,X,Y,W,H,Class,Age,Gender
1,818,211,69,186,person,(38-43),Male
1,675,210,48,146,person,(38-43),Male
1,733,217,82,175,person,(25-32),Male
1,598,209,47,154,person,(60-100),Female
2,818,211,69,186,person,(38-43),Male
2,675,210,48,146,person,(38-43),Male
2,732,217,83,175,person,(25-32),Male
2,598,209,47,154,person,(60-100),Female
3,818,211,69,186,person,(38-43),Female
3,675,210,48,146,person,(38-43),Male
3,733,218,84,174,person,(25-32),Male
3,598,209,48,154,person,(60-100),Female
4,819,214,69,179,person,(38-43),Male
4,734,217,83,175,person,(25-32),Male
4,675,210,47,146,person,(38-43),Male
4,598,208,47,155,person,(38-43),Female
5,675,210,47,146,person,(38-43),Male
5,819,211,69,185,person,(38-43),Male
5,733,217,83,176,person,(25-32),Male
5,597,209,50,154,person,(60-100),Female
6,675,210,47,146,person,(38-43),Male
6,820,212,70,184,person,(60-100),Female
6,733,217,84,176,person,(25-32),Male
6,594,207,48,155,person,(60-100),Female
7,675,210,47,146,person,(38-43),Male
7,732,217,83,175,person,(25-32),Male
7,818,217,69,174,person,(38-43),Male
7,589,208,54,152,person,(60-100),Female
7,854,216,36,145,person,(38-43),Male
8,820,213,70,182,person,(60-100),Female
8,732,217,82,175,person,(25-32),Male
8,675,209,48,147,person,(38-43),Male
8,587,207,58,156,person,(60-100),Female
